timestamp,util_pct,mem_used_mib,power_w,temp_c
1784865617,0,433,114.22,34
1784865618,0,433,114.39,34
1784865619,0,450,114.22,34
1784865620,26,2102,136.10,36
1784865621,98,2552,283.51,38
1784865622,98,2552,303.76,39
1784865623,47,2618,245.90,39
1784865624,98,2618,306.18,40
1784865625,99,2618,305.14,40
1784865626,98,3130,268.95,40
1784865628,98,3130,305.10,41
1784865629,55,3130,272.06,40
1784865630,98,3130,308.36,41
1784865631,99,3130,308.34,42
1784865632,98,3130,268.58,42
1784865633,98,3130,310.19,42
1784865634,0,3130,242.33,39
